tweet_id,created_at,text
1212734246785343489,Thu Jan 02 13:55:50 +0000 2020,$GOOG #patent 20200007486 Systems and Methods for Generating a Message Topic Training Dataset from User Interaction… https://t.co/toW06rOBnf
1212733742227152896,Thu Jan 02 13:53:50 +0000 2020,"Do you know you can broadcast your message to over 2,500,000 people on TW, FB, GOOG &amp; 40B for only 20 bucks?… https://t.co/7F2CLsK9AK"
1212733544625258496,Thu Jan 02 13:53:03 +0000 2020,$GOOG $GOOGL NEW ARTICLE : Google's DeepMind A.I. beats doctors in breast cancer screening trial… https://t.co/b3klULmoXk
1212731529497128961,Thu Jan 02 13:45:02 +0000 2020,$AAPL $FB $GOOG NEW ARTICLE : FANG Stocks Face Regulatory Scrutiny In 2020 — But So What? https://t.co/v9zTQpiCkj G… https://t.co/jak8tykfaG
1212731203666595840,Thu Jan 02 13:43:45 +0000 2020,"@IBGDRGN888_ @CSHXTOP87 Baby Good Night, Baby Goog Night~
biar bobo Tabi oppaa"
1212731058720006145,Thu Jan 02 13:43:10 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Cassava's stock rises 33%  https://t.co/Pl4q201CYy
1212731035135467523,Thu Jan 02 13:43:04 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Peloton added to Baird's 'Fresh Pick' list on strong interest in connected fitne… https://t.co/4mh8BaMyEo
1212730471383216128,Thu Jan 02 13:40:50 +0000 2020,"$GOOG #patent 20200007606 DELAYING PUBLICIZING, AT A SECOND SOURCE, UPLOAD OF A CONTENT ITEM TO A FIRST SOURCE UNTI… https://t.co/1kfa2oRTyh"
1212727917215657984,Thu Jan 02 13:30:41 +0000 2020,"im only posting this to try and get ""pop a goog"" stuck in your head too :D 

(goog is short for google btw)"
1212727719362015233,Thu Jan 02 13:29:54 +0000 2020,"i have this problem now of having ""toss a coin"" song stuck in my head but EVERY time my brain wants to replace that… https://t.co/TfCnUxRfAE"
1212727083157401601,Thu Jan 02 13:27:22 +0000 2020,"$spy $gspc $aapl $nflx $goog $tsla AMD's stock surges premarket, on track to open at a 20-year high  https://t.co/1NJkhYw2RM"
1212727064450805761,Thu Jan 02 13:27:18 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Duke Energy reaches deal to close remaining coal ash basins in North Carolina  https://t.co/mH9BeQNJRm
