tweet_id,created_at,text,symbols
1212811644327399429,Thu Jan 02 19:03:23 +0000 2020,"@AdamMancini4 Always do the opposite of the crowd. Many NASDAQ stocks have reached ridiculous levels, especially AA… https://t.co/4zKfjXtqfN",
1212811554699087872,Thu Jan 02 19:03:02 +0000 2020,"Mid-day 52 Week high &amp; Trading range &gt; 80% (Min $5 &amp; Vol 750K, Min Opt Vol 250 in any strike): $MS $BLDP $LX $GS… https://t.co/HxVTKNEevN","MS,BLDP,LX,GS"
1212811475351474177,Thu Jan 02 19:02:43 +0000 2020,"AAPL: 298.51 at Jan 2, 2020 7:02 PM",
1212811475137572865,Thu Jan 02 19:02:43 +0000 2020,"AAPL: 298.51 at Jan 2, 2020 7:02 PM",
1212811474692907009,Thu Jan 02 19:02:43 +0000 2020,"AAPL: 298.51 at Jan 2, 2020 7:02 PM",
1212811468153876480,Thu Jan 02 19:02:41 +0000 2020,@NorthmanTrader $RUT is $2.4 Trillion. AAPL today is over $1.3 trillion. In about a month or two AAPL will be able… https://t.co/v7RfqU4Bs5,RUT
1212811429922967555,Thu Jan 02 19:02:32 +0000 2020,$SBES looking back up coming into EOD. Lets break hod and have a big power hour! congrats to all in $INPX! God da… https://t.co/AvbclDXmaq,"SBES,INPX"
1212811126020476928,Thu Jan 02 19:01:20 +0000 2020,"My results since May when I focused on day trading.So happy that I found a style I really enjoy. Unfortunately, m… https://t.co/QvwYVVXwvt",
1212811097587236866,Thu Jan 02 19:01:13 +0000 2020,"Munster Doubles Down, Says Apple $AAPL Has 40% Upside This Yearhttps://t.co/JiXFWPfKiJ",AAPL
1212811023524257792,Thu Jan 02 19:00:55 +0000 2020,"@DogfatherMike @SenWarren @carlquintanilla the biggest stock #fraud $BA, $AAPL","BA,AAPL"
1212810975944019974,Thu Jan 02 19:00:44 +0000 2020,@Betopke I'll add $1 $AAPL to my shopping list.,AAPL
1212810838840684550,Thu Jan 02 19:00:11 +0000 2020,It ain't Comedy Central :) $AAPL $XLE https://t.co/61DhfRu6w4,"AAPL,XLE"
1212810810155847680,Thu Jan 02 19:00:04 +0000 2020,@CapitalPrivate1 @jimcramer This #stock is nothing special and  for years still below IPO. Go short for $aapl),AAPL
1212810704169734151,Thu Jan 02 18:59:39 +0000 2020,if $AAPL hits $300 I’m buying everyone an OLED,AAPL
1212810689288519680,Thu Jan 02 18:59:35 +0000 2020,Dividend Stocks Will Pay Out A Record Amount In 2020; Stock Buybacks To Climb https://t.co/bnWO127l1s $AAPL $MSFT… https://t.co/u6wkltUDMQ,"AAPL,MSFT"
1212810617142349824,Thu Jan 02 18:59:18 +0000 2020,@themotleyfool Was $aapl a penny stock in 2001 ?,AAPL
1212810470719131651,Thu Jan 02 18:58:43 +0000 2020,"AAPL: 298.4103 at Jan 2, 2020 6:58 PM",
1212810470501093377,Thu Jan 02 18:58:43 +0000 2020,"AAPL: 298.4103 at Jan 2, 2020 6:58 PM",
1212810421557702660,Thu Jan 02 18:58:32 +0000 2020,@RampCapitalLLC AAPL - they will eat the payment processing space.,
1212810247187894275,Thu Jan 02 18:57:50 +0000 2020,$AAPL added more today! 🍎 🍏 https://t.co/Fy8kMPkXu7,AAPL
1212810165784842241,Thu Jan 02 18:57:31 +0000 2020,"Jan 02 Thursday, $AAPL is $298.40Bearish target $295.19 🤔Bearish target $293.64",AAPL
1212810048893665283,Thu Jan 02 18:57:03 +0000 2020,"Brydge Introduces iPad Pro Keyboard With Multi-Touch Trackpad, Also Teases Standalone Trackpad… https://t.co/amiM6SwGjW",
1212809947169349632,Thu Jan 02 18:56:38 +0000 2020,"AAPL: 298.39 at Jan 2, 2020 6:56 PM",
1212809947131633664,Thu Jan 02 18:56:38 +0000 2020,"AAPL: 298.39 at Jan 2, 2020 6:56 PM",
1212809884040880142,Thu Jan 02 18:56:23 +0000 2020,If you own the KING $AAPL. You killed it today!,AAPL
1212809691782402053,Thu Jan 02 18:55:38 +0000 2020,Things you see at market tops$SPY $AAPL https://t.co/TGL52TiCsa,"SPY,AAPL"
1212809669468659712,Thu Jan 02 18:55:32 +0000 2020,KING AAPL cling in on 300 in 2020. No one in the world doubted that was not happening.,
1212809498378850309,Thu Jan 02 18:54:51 +0000 2020,"Nailed it ;) Utilizing DTP's algorithm that calculates the liquidity pockets on the map, scribbled out my trade pla… https://t.co/WcCoXFpu2E",
